H(Oe)	T(K)	R1+(Ohm)	R1_SD(Ohm)	R2(Ohm)	R2_SD(Ohm)	Hall R1(Ohm)	Hall R1 SD(Ohm)	Hall R2(Ohm)	Hall R2 SD(Ohm)	V(mV)	V_SD(mV)	R(Ohm)	R_SD(Ohm)	Hall V(mV)	Hall V SD(mV)	Hall R(Ohm)	Hall R SD(Ohm)
-50196.110000	    1.901030	  132.760055	    0.000232	  159.263330	    0.000567	   23.588205	    0.000878	  -29.989395	    0.002680	   14.601169	    0.000040	  146.011692	    0.000400	   -0.320059	    0.000178	   -3.200595	    0.001779
-49898.860000	    1.901030	  132.507720	    0.000321	  159.304285	    0.000635	   23.673370	    0.000513	  -30.089660	    0.000329	   14.590600	    0.000048	  145.906002	    0.000478	   -0.320815	    0.000042	   -3.208145	    0.000421
-49599.390000	    1.900849	  132.327605	    0.000298	  159.511305	    0.000597	   23.583030	    0.001732	  -29.989930	    0.000505	   14.591946	    0.000045	  145.919455	    0.000447	   -0.320345	    0.000112	   -3.203450	    0.001119
-49295.500000	    1.900585	  132.426690	    0.000228	  159.123135	    0.000246	   23.605860	    0.000435	  -29.995515	    0.000327	   14.577491	    0.000024	  145.774912	    0.000237	   -0.319483	    0.000038	   -3.194828	    0.000381
-48994.920000	    1.900419	  132.374660	    0.000463	  159.268925	    0.000170	   23.407155	    0.000704	  -29.912185	    0.000772	   14.582179	    0.000032	  145.821792	    0.000316	   -0.325252	    0.000074	   -3.252515	    0.000738
-48694.350000	    1.900266	  132.543400	    0.000372	  159.322430	    0.000708	   23.374760	    0.000495	  -29.797945	    0.000549	   14.593291	    0.000054	  145.932915	    0.000540	   -0.321159	    0.000052	   -3.211592	    0.000522
-48392.660000	    1.900155	  132.545935	    0.000228	  159.208720	    0.000243	   23.272595	    0.000497	  -29.798580	    0.001600	   14.587733	    0.000024	  145.877327	    0.000235	   -0.326299	    0.000105	   -3.262992	    0.001049
-48090.980000	    1.900127	  132.410435	    0.000257	  159.255185	    0.000373	   23.693140	    0.000304	  -29.907795	    0.000800	   14.583281	    0.000031	  145.832810	    0.000315	   -0.310733	    0.000055	   -3.107327	    0.000552
-47789.290000	    1.900030	  132.453855	    0.000392	  159.385070	    0.000586	   23.269770	    0.000596	  -29.740555	    0.000951	   14.591946	    0.000049	  145.919463	    0.000489	   -0.323539	    0.000077	   -3.235392	    0.000774
-47488.710000	    1.900016	  132.575215	    0.000423	  159.137630	    0.000451	   23.739530	    0.001196	  -29.610855	    0.000695	   14.585642	    0.000044	  145.856423	    0.000437	   -0.293566	    0.000095	   -2.935662	    0.000946
